Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,189.289993,189.720001,187.259995,188.399994,163.051788,1865000
2015-01-05,187.259995,187.410004,184.660004,185.089996,160.187149,2734700
2015-01-06,185.369995,185.880005,182.360001,183.270004,158.612076,2245300
2015-01-07,184.729996,185.910004,184.229996,185.559998,160.593933,2305600
2015-01-08,187.130005,189.050003,187.070007,188.820007,163.415359,1740600
2015-01-09,189.300003,189.339996,186.649994,187.229996,162.039261,2525200
2015-01-12,187.460007,187.600006,185.190002,185.839996,160.836258,1847500
2015-01-13,187.220001,188.410004,183.899994,185.350006,160.412201,2158500
2015-01-14,183.100006,184.399994,182.110001,184.259995,159.468781,5216300
2015-01-15,184.880005,185.250000,182.399994,182.539993,157.980240,1940700
2015-01-16,182.309998,185.080002,182.089996,184.800003,159.936188,1472800
2015-01-20,185.619995,185.899994,183.580002,185.259995,160.334290,1637600
2015-01-21,184.770004,186.740005,184.300003,186.229996,161.173767,1586500
2015-01-22,187.089996,189.149994,185.600006,189.080002,163.640320,6074900
2015-01-23,188.720001,189.020004,187.789993,188.039993,162.740265,3109800
2015-01-26,187.789993,188.509995,186.929993,188.410004,163.060516,2018000
2015-01-27,186.139999,187.179993,185.020004,185.940002,160.922821,1979100
2015-01-28,187.270004,187.320007,183.350006,183.490005,158.802475,2530800
2015-01-29,183.740005,185.529999,182.210007,185.270004,160.342941,4338200
2015-01-30,183.960007,185.380005,182.630005,182.990005,158.369751,2302500
2015-02-02,183.500000,185.259995,181.470001,185.089996,160.187149,3397800
2015-02-03,186.130005,187.860001,185.789993,187.789993,162.523895,1435000
2015-02-04,187.029999,188.350006,186.649994,187.149994,161.969986,1861200
2015-02-05,187.889999,189.190002,187.850006,189.050003,163.614395,1033800
2015-02-06,189.490005,190.050003,187.940002,188.520004,163.155701,1454700
2015-02-09,187.809998,188.589996,187.220001,187.660004,162.411392,2289300
2015-02-10,188.820007,189.929993,187.850006,189.660004,164.142273,1798000
2015-02-11,189.509995,190.229996,188.779999,189.789993,164.254807,1744400
2015-02-12,190.699997,191.649994,190.470001,191.550003,165.778046,2008500
2015-02-13,191.720001,192.440002,191.460007,192.389999,166.504990,1073100
2015-02-17,192.070007,192.880005,191.789993,192.699997,166.773285,1700400
2015-02-18,192.279999,192.779999,192.000000,192.740005,166.807922,1863000
2015-02-19,192.089996,192.970001,191.889999,192.610001,166.695404,1017600
2015-02-20,192.130005,193.820007,191.449997,193.779999,167.708038,1374000
2015-02-23,193.490005,193.729996,193.029999,193.729996,167.664703,1497700
2015-02-24,193.690002,194.490005,193.429993,194.300003,168.158005,1244200
2015-02-25,194.139999,194.649994,193.710007,194.089996,167.976273,1983600
2015-02-26,193.990005,194.149994,193.210007,193.869995,167.785873,994200
2015-02-27,193.770004,194.050003,193.190002,193.199997,167.205994,966600
2015-03-02,193.309998,194.470001,193.300003,194.470001,168.305161,1016600
2015-03-03,193.960007,194.020004,192.690002,193.639999,167.586838,1388100
2015-03-04,193.000000,193.050003,191.729996,192.830002,166.885803,1497500
2015-03-05,193.149994,193.330002,192.479996,193.039993,167.067551,1135800
2015-03-06,192.000000,192.550003,189.940002,190.309998,164.704819,1815600
2015-03-09,190.520004,191.470001,190.419998,191.119995,165.405869,1132000
2015-03-10,189.570007,189.630005,187.970001,187.979996,162.688339,2390500
2015-03-11,188.259995,188.470001,187.470001,187.539993,162.307526,1857500
2015-03-12,188.210007,190.000000,188.199997,189.960007,164.401917,2646900
2015-03-13,189.679993,189.789993,187.619995,188.800003,163.397980,1792200
2015-03-16,189.589996,191.380005,189.550003,191.380005,165.630905,1054700
2015-03-17,190.479996,191.130005,189.830002,190.729996,165.068344,1460900
2015-03-18,190.169998,193.759995,189.490005,193.000000,167.032913,2287400
2015-03-19,192.559998,192.850006,191.750000,192.110001,166.262695,1372000
2015-03-20,193.190002,194.389999,193.130005,193.850006,167.768570,1350100
2015-03-23,192.850006,193.490005,192.490005,192.520004,167.467606,707100
2015-03-24,192.380005,192.850006,191.330002,191.399994,166.493286,1587700
2015-03-25,191.639999,191.869995,188.570007,188.610001,164.066391,1216700
2015-03-26,187.880005,189.149994,187.149994,188.139999,163.657547,1906200
2015-03-27,188.039993,188.779999,187.830002,188.529999,163.996811,1837000
2015-03-30,189.750000,191.190002,189.720001,190.880005,166.040985,1414700
2015-03-31,189.979996,191.779999,189.169998,189.199997,164.579651,2765200
2015-04-01,189.169998,189.169998,187.470001,188.589996,164.048996,3379900
2015-04-02,188.470001,189.690002,188.270004,189.149994,164.536148,1803500
2015-04-06,188.229996,191.039993,188.089996,190.479996,165.693054,1242500
2015-04-07,190.479996,191.330002,189.970001,189.970001,165.249451,1372300
2015-04-08,190.240005,191.059998,189.809998,190.660004,165.849640,1412100
2015-04-09,190.449997,191.710007,189.960007,191.490005,166.571625,794800
